"Bill of Material for main.PcbDoc"
"On 08.11.2017 at 20:01:02"

"Comment","Pattern","Quantity","Components"

"","HDR1X5_uart","2","JP2, JP3",""
"1.0","_1206","1","C203","Capacitor"
"1.0x16","_1206","8","C3, C5, C7, C8, C9, C10, C11, C14","Capacitor"
"10","_1206","2","C200, C201","Capacitor"
"100R","_1206","17","R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R17, R18, R19, R20, R21, R22, R32","Resistor"
"10K","_1206","4","R34, R41, R43, R200","Resistor"
"10MGz","hc49/us","1","Y2","Crystal Oscillator"
"10pF","_1206","2","C12, C13","Capacitor"
"10R","_1206","1","R31","Resistor"
"16MGz","qwarz1","1","Y200","Crystal Oscillator"
"1K0","_1206","5","R35, R36, R37, R38, R201","Resistor"
"1n0","_1206","1","C202","Capacitor"
"220x16","el3","1","C6","Polarized Capacitor (Radial)"
"22pF","_1206","2","C1, C2","Capacitor"
"22R","_1206","1","R39","Resistor"
"32768","TMXLi-206","1","Y1","Crystal Oscillator"
"3K0","_1206","8","R1, R2, R3, R4, R23, R24, R30, R45","Resistor"
"470x25","el5","1","C4","Polarized Capacitor (Radial)"
"5K1","_1206","5","R15, R16, R33, R40, R42","Resistor"
"ATmega8","QFP7X7-G32/X.5N","1","U200",""
"BC807","SO-G3","5","Q1, Q2, Q3, Q4, Q5","General Purpose Transistor PNP Silicon"
"BC847","SO-G3","2","Q6, Q7","General Purpose Transistor NPN Silicon"
"C4V7","_1206d","2","D2, D4","Zener Diode"
"CR1220","1220_holder","1","BT1","Multicell Battery"
"DG306-5.0-02P","BT5-2","3","JP4, JP5, JP6","Header, 2-Pin"
"DG306-5.0-03P","BT5-3","3","JP1, JP7, JP8","Header, 3-Pin"
"DS1307Z","SO-G8/Z7.45","1","U2","64 X 8 Serial Real-Time Clock"
"DS1775","SO-G5/P.95","1","U9",""
"DS18B20","DS18B20_H","1","U4",""
"HCM1205X ","zumm","1","A1","Beeper"
"Header 12","HDR1X12","2","JP200, JP201","Header, 12-Pin"
"Header 2X2H","HDR2X2","1","JP203","Header, 2-Pin, Dual row,  Right Angle"
"Header 5","HDR1X5","1","JP202","Header, 5-Pin"
"HS310561K","HS310561K","1","HG1",""
"HS410561K","HS410561K","1","HG2",""
"LED0","el3","8","DS1, DS2, DS3, DS4, DS5, DS6, DS7, DS8","Typical INFRARED GaAs LED"
"MC7805ACD2T","D2PAK","1","U8","Three-Terminal Positive Voltage Regulator"
"MOC3083S","smdip6","3","U5, U6, U7","Opto-Triac"
"PBD-10","HDR2X5","1","JP500","Header, 10-Pin"
"Res2","_1206","6","R25, R26, R27, R28, R29, R44","Resistor"
"STM8S007C8","F-QFP7X7-G48/X.3N","1","U1",""
"STM8S103F","TSSO6x6-G20/Y1.6","1","U3",""
"STPS1H100","mbrs140","2","D1, D3","Schottky Rectifier"
"SWT-6","SWT-6","4","S1, S2, S3, S4","Switch"
